marca,codigo,parte_cuerpo,limite_inferior,limite_superior,talla,genero,prenda
Greenfield,greenfield,cintura,0,62,XS,F,top
Greenfield,greenfield,cintura,62,66,S,F,top
Greenfield,greenfield,cintura,66,71,M,F,top
Greenfield,greenfield,cintura,71,76,L,F,top
Greenfield,greenfield,cintura,76,200,XL,F,top
Greenfield,greenfield,caderas,0,88,XS,F,top
Greenfield,greenfield,caderas,88,92,S,F,top
Greenfield,greenfield,caderas,92,97,M,F,top
Greenfield,greenfield,caderas,97,102,L,F,top
Greenfield,greenfield,caderas,102,200,XL,F,top
Greenfield,greenfield,cintura,0,62,34,F,inferior
Greenfield,greenfield,cintura,62,66,36,F,inferior
Greenfield,greenfield,cintura,66,71,38,F,inferior
Greenfield,greenfield,cintura,71,76,40,F,inferior
Greenfield,greenfield,cintura,76,81,42,F,inferior
Greenfield,greenfield,cintura,81,200,44,F,inferior
Greenfield,greenfield,caderas,0,88,34,F,inferior
Greenfield,greenfield,caderas,88,92,36,F,inferior
Greenfield,greenfield,caderas,92,97,38,F,inferior
Greenfield,greenfield,caderas,97,102,40,F,inferior
Greenfield,greenfield,caderas,102,107,42,F,inferior
Greenfield,greenfield,caderas,107,200,44,F,inferior
,,,,,,,
iO,io,pecho,0,82,XS,F,top
iO,io,pecho,82,86,S,F,top
iO,io,pecho,86,90,M,F,top
iO,io,pecho,90,200,L,F,top
iO,io,cintura,0,78,XS,F,top
iO,io,cintura,78,82,S,F,top
iO,io,cintura,82,86,M,F,top
iO,io,cintura,86,200,L,F,top
iO,io,caderas,0,86,XS,F,top
iO,io,caderas,86,90,S,F,top
